date,acquisitionOfShares,directInvestmentToIndia,equityGovernment,equityInflows,equityRBI,equityUnincorporated,fdiByIndia,fdiByIndiaEquity,fdiByIndiaOther,fdiByIndiaReinvested,fdiByIndiaRepatriation,fpis,gdrsAdrs,grossInflows,netFDI,netPortfolioInvestment,offshoreFunds,otherCapitalInflows,portfolioByIndia,reinvestedEarnings,repatriationDisinvestment,repatriationEquity,repatriationOther
2024-05,1986.19,3996.02,79.58,5927.91,3787.49,74.64,1792.91,1168.12,436.68,570.52,382.41,-1836.49,0,8053.16,2203.11,-1820.65,0,383.59,-15.84,1741.66,4057.14,3891.08,166.06
2024-06,2051.99,3557.37,118.15,5489.26,3244.47,74.64,1315.72,844.34,283.27,570.52,382.41,5432.93,0,7614.51,2241.65,5448.77,0,383.59,-15.84,1741.66,4057.14,3891.08,166.06
2024-07,1002.39,331.41,111.8,3291.06,2099.25,77.62,3019.4,2371.92,259.66,570.52,182.69,5828.14,0,5538.84,-2687.99,5839.8,0,436.18,-11.66,1811.59,5207.42,5005.37,202.05
2024-08,2063.72,3510.78,55.69,6470.43,4273.41,77.62,2468.37,1329.89,750.66,570.52,182.69,4286.14,0,8718.2,1042.41,4297.8,0,436.18,-11.66,1811.59,5207.42,5005.37,202.05
2024-09,1515.97,1124.45,3.31,4084.09,2487.2,77.62,2299.81,881.49,1030.5,570.52,182.69,9700.79,0,6331.87,-1175.37,9712.45,0,436.18,-11.66,1811.59,5207.42,5005.37,202.05
2024-10,549.84,1763.67,148.55,4307.36,3524.2,84.77,1892.17,985.33,640.69,570.52,304.36,-10947.74,0,7169.53,-128.51,-10926.87,0,884.24,-20.87,1977.93,5405.87,5212.27,193.6
2024-11,537.26,-173.8,71.88,2369.9,1675.99,84.77,2318.96,1086.71,966.1,570.52,304.36,-2277.81,0,5232.07,-2492.76,-2256.94,0,884.24,-20.87,1977.93,5405.87,5212.27,193.6
2024-12,1583.24,1914.65,1247.5,4458.35,1542.83,84.77,2103.58,1240.77,596.66,570.52,304.36,1790.91,0,7320.52,-188.93,1811.78,0,884.24,-20.87,1977.93,5405.87,5212.27,193.6
2025-01,759.22,3598.5,16.09,3451.16,2587.78,88.07,2027.13,1212.17,566.74,570.52,322.3,-5974.82,0,6089.95,1571.38,-5929.48,0,583.78,-45.33,2055.01,2491.45,2399.74,91.71
2025-02,502.5,3066.43,37.08,2919.09,2291.44,88.07,3769.56,2700.63,820.71,570.52,322.3,-4017.01,0,5557.88,-703.13,-3971.68,0,583.78,-45.33,2055.01,2491.45,2399.74,91.71
2025-03,404.87,3387.57,306.89,3240.22,2440.39,88.07,3889.44,2408.3,1232.92,570.52,322.3,3997.2,0,5879.01,-501.87,4042.53,0,583.78,-45.33,2055.01,2491.45,2399.74,91.71
2025-04,1565.78,4964.86,296.72,6822.22,4696.49,263.23,3351.95,1963.8,950.05,643.11,205.01,-1837.86,0,9242.76,1612.91,-2128.68,0,462.03,290.82,1958.51,4277.9,4025.51,252.39
2025-05,1602.98,3562.94,59.87,5420.29,3494.22,263.23,2661.68,816.27,1407.31,643.11,205.01,1592.57,0,7840.84,901.25,1301.76,0,462.03,290.82,1958.51,4277.9,4025.51,252.39
2025-06,571.34,5317.76,1003.87,7175.11,5336.68,263.23,3015.45,2062.59,514.76,643.11,205.01,2725.99,0,9595.66,2302.3,2435.17,0,462.03,290.82,1958.51,4277.9,4025.51,252.39
2025-07,2305.57,6939.27,10.89,8956.19,6366.19,273.54,2663.2,1621.39,660.4,643.11,261.7,-2436.68,0,11554.45,4276.07,-2529.53,0,562.97,92.85,2035.29,4615.18,4421.72,193.45
2025-08,798.13,1991.08,141.33,4007.99,2794.99,273.54,2101.06,1355.93,363.72,643.11,261.7,-2503.25,0,6606.26,-109.99,-2596.1,0,562.97,92.85,2035.29,4615.18,4421.72,193.45
2025-09,582.31,2391.58,32.37,4408.5,3520.27,273.54,4674.19,3355.18,937.6,643.11,261.7,-528.46,0,7006.76,-2282.61,-621.31,0,562.97,92.85,2035.29,4615.18,4421.72,193.45
2025-10,1050.58,643.59,4.64,3880.46,2526.93,298.31,3107.2,1947.16,734.4,643.11,217.47,3451.17,0,6618.77,-2463.62,3420.3,0,518.76,30.87,2219.54,5975.18,5757.72,217.46
2025-11,1888.17,694.19,81.14,3931.06,1663.45,298.31,1397.86,712.55,259.67,643.11,217.47,652.98,0,6669.37,-703.68,622.11,0,518.76,30.87,2219.54,5975.18,5757.72,217.46
2025-12,1222.64,2541.01,49.99,5777.88,4206.94,298.31,3032.59,1952.99,653.96,643.11,217.47,-4188.78,0,8516.19,-491.58,-4219.66,0,518.76,30.87,2219.54,5975.18,5757.72,217.46
2026-01,555.71,749.71,73.81,2659.5,1719.81,310.17,2135.7,1616.31,410.63,643.11,534.35,-2406.57,0,5665.28,-1385.99,-1924.4,0,698,-482.17,2307.79,4915.57,4867.78,47.79
