month,equity,debt_general_limit,debt_vrr,debt_far,hybrid,mf_equity,mf_debt,mf_hybrid,mf_solution_oriented,mf_other,aif,total
2026-01,-35962.00,-7308.00,60.00,13261.00,232.00,312.00,42.00,0.00,0.00,128.00,-4.00,-29240.00
2026-02,22615.00,5380.00,4772.00,8639.00,-3896.00,252.00,14.00,-152.00,0.00,180.00,0.00,37804.00
2026-03,-117775.00,6304.00,-3228.00,-11545.00,1868.00,-107.00,-335.00,-147.00,0.00,-773.00,0.00,-125736.00
2026-04,-60847.00,-7671.00,-3008.00,-147.00,444.00,245.00,196.00,-57.00,0.00,-40.00,1.00,-70885.00
2026-05,-32963.00,-100.00,-1548.00,4405.00,985.00,167.00,-321.00,48.00,0.00,-161.00,5.00,-29484.00
2026-06,-49340.00,30620.00,3246.00,21652.00,-1363.00,-177.00,14.00,11.00,0.00,5.00,0.00,4669.00
2026-07,20200.00,29212.00,-13584.00,3033.00,166.00,61.00,22.00,-35.00,0.00,952.00,4.00,40031.00
2026-08,29631.00,-2224.00,503.00,264.00,-2663.00,125.00,15.00,-45.00,0.00,-114.00,0.00,25492.00
